id,Gender,Age,City,Profession,Academic Pressure,Work Pressure,CGPA,Study Satisfaction,Job Satisfaction,Sleep Duration,Dietary Habits,Degree,Work/Study Hours,Financial Stress
2,1,33,51,11,5,0,8,2,0,0,0,3,3,1
8,0,24,3,11,2,0,5,5,0,0,1,10,3,2
26,1,31,44,11,3,0,7,5,0,2,0,5,9,1
30,0,28,49,11,3,0,5,2,0,1,1,7,4,5
32,0,25,16,11,4,0,8,3,0,0,1,17,1,1
33,1,29,39,11,2,0,5,3,0,2,0,27,4,1
52,1,30,46,11,3,0,9,4,0,1,0,10,1,2
56,0,30,6,11,2,0,8,4,0,2,3,11,0,1
59,1,28,33,11,3,0,9,1,0,1,1,2,12,3
62,1,31,37,11,2,0,8,3,0,2,1,12,2,5
83,1,24,33,11,3,0,6,3,0,0,1,11,11,1
91,1,33,48,11,3,0,7,4,0,2,0,8,10,2
94,1,27,17,11,5,0,7,1,0,2,1,17,10,1
100,0,19,40,11,2,0,8,4,0,2,3,11,6,2
103,0,19,17,11,5,0,5,5,0,2,1,11,4,5
106,1,29,44,11,3,0,8,3,0,3,1,17,10,2
120,1,25,37,11,5,0,6,2,0,2,3,15,2,5
132,0,20,2,11,5,0,7,3,0,0,0,11,10,3
139,1,19,6,11,2,0,7,2,0,1,3,11,6,3
145,1,25,17,11,3,0,9,3,0,0,1,2,8,3
161,1,29,21,11,3,0,8,4,0,0,1,2,1,1
162,1,29,21,11,3,0,6,3,0,1,1,17,0,1
166,0,25,2,11,3,0,5,3,0,3,3,25,10,5
172,1,23,46,11,1,0,8,4,0,1,0,9,11,3
173,1,18,3,11,4,0,7,3,0,3,3,11,11,5
176,0,20,32,11,5,0,8,5,0,1,1,11,2,2
186,1,31,2,11,2,0,6,5,0,1,1,12,3,3
193,1,25,24,11,3,0,7,3,0,3,3,15,10,5
208,1,33,15,11,5,0,5,2,0,2,1,16,8,3
214,1,28,17,11,3,0,9,3,0,1,3,16,11,2
222,1,18,45,11,4,0,6,5,0,2,1,11,5,4
232,1,18,51,11,2,0,6,3,0,0,3,11,4,2
239,1,21,16,11,1,0,7,1,0,2,0,21,7,2
240,0,31,17,11,1,0,5,3,0,1,0,27,8,4
242,1,21,45,11,1,0,8,3,0,3,0,18,0,3
253,0,25,25,11,1,0,6,3,0,1,1,3,2,2
255,0,21,5,11,5,0,9,2,0,0,1,1,0,4
263,1,28,44,11,5,0,5,3,0,1,3,7,9,1
270,1,28,46,11,1,0,9,2,0,1,3,22,6,3
273,1,25,29,11,3,0,6,4,0,1,3,3,3,4
274,0,20,46,11,3,0,6,2,0,1,1,11,11,5
277,1,23,1,11,2,0,6,4,0,0,3,25,10,1
280,1,19,1,11,1,0,5,3,0,0,0,11,2,1
285,0,33,11,11,4,0,9,1,0,2,3,19,10,5
294,0,23,6,11,1,0,7,4,0,3,3,8,12,5
301,1,22,24,11,1,0,9,1,0,1,3,2,10,1
303,0,19,29,11,2,0,6,2,0,2,0,11,2,3
305,0,30,14,11,1,0,5,3,0,2,0,10,1,4
310,1,21,17,11,3,0,7,3,0,2,3,25,1,5
312,0,19,40,11,5,0,6,5,0,3,0,11,0,4
315,1,23,17,11,3,0,7,3,0,2,1,1,10,4
316,0,23,50,11,5,0,9,1,0,1,0,9,12,5
324,0,18,48,11,3,0,5,5,0,0,3,11,11,4
328,1,28,44,11,4,0,8,1,0,1,3,16,12,1
335,1,24,14,11,2,0,8,3,0,0,3,17,8,1
336,0,33,44,11,1,0,9,1,0,3,0,1,5,2
337,0,20,17,11,3,0,8,2,0,0,1,11,7,3
340,1,23,17,11,5,0,7,1,0,1,1,10,11,4
343,1,23,39,11,5,0,5,1,0,0,0,5,11,4
347,0,24,25,11,3,0,5,1,0,2,0,20,9,2
348,1,25,16,11,5,0,9,1,0,0,3,10,7,3
351,0,24,5,11,4,0,7,3,0,0,1,20,3,5
367,0,24,21,11,3,0,5,4,0,1,1,10,10,5
370,1,31,37,11,1,0,6,5,0,3,3,21,0,3
381,1,20,46,11,5,0,8,4,0,2,3,11,4,5
385,1,21,25,11,2,0,7,5,0,2,0,18,2,5
392,1,25,18,11,1,0,8,3,0,1,1,5,11,4
398,1,19,32,11,2,0,7,4,0,1,0,11,11,1
407,0,34,45,11,3,0,9,3,0,3,0,25,12,5
408,1,24,1,11,1,0,8,4,0,0,0,17,10,2
414,1,33,14,11,5,0,7,3,0,2,1,2,8,1
420,1,32,38,11,3,0,9,5,0,1,1,20,5,5
